coverage	nFounders	Ne	mu	rho	meanDelta	sdDelta
0.005X	128			0.20133208938052	3.075	3.10781616304088
0.005X	32			0.201183831169123	3.145	2.80868238536411
0.05X	128			0.98617065412806	-0.015	0.244795449365537
0.05X	32			0.501671862632659	0.1725	2.14692033324323
0.05X	128	10000	1e-08	0.23785142575143	-1.6475	1.8633098397468
0.05X	32	10000	1e-08	0.745045727751191	-0.66	1.04983588644663
0.05X	128	1e+05	1e-08	0.776490406343728	-0.34	1.11692380984223
0.05X	32	1e+05	1e-08	0.846487943687285	-0.2475	0.92919441218676
0.05X	128	1e+06	1e-08	0.93743300299709	-0.2175	0.557647897821611
0.05X	32	1e+06	1e-08	0.833159541188738	-0.32	0.95387351714826
0.05X	128	10000	1e-09	0.0288639825579981	-2.7225	1.60372178350774
0.05X	32	10000	1e-09	0.21919833057995	-1.8375	1.49723010756112
0.05X	128	1e+05	1e-09	0.28754081797397	-1.565	1.63935772006473
0.05X	32	1e+05	1e-09	0.76054732041049	-0.53	0.990734013099267
0.05X	128	1e+06	1e-09	0.741987297836201	-0.4575	1.09140811761595
0.05X	32	1e+06	1e-09	0.754254355980119	-0.4225	1.21971842348202
0.05X	128	10000	5e-09	0.202782808229194	-2.0275	1.72748495236619
0.05X	32	10000	5e-09	0.622229242352445	-0.8925	1.16590827480688
0.05X	128	1e+05	5e-09	0.65205073957378	-0.64	1.41080684002085
0.05X	32	1e+05	5e-09	0.781705785762581	-0.2625	1.16058655553225
0.05X	128	1e+06	5e-09	0.955829292623492	-0.1675	0.441509997275527
0.05X	32	1e+06	5e-09	0.75940988691904	-0.3075	1.25574120140747
