ind	haplotype	chromosome	nRecombEst	nRecombTrue	population	coverage	nFounders	Ne	mu	population_iteration
1	1	2L	1	4	dgrp	0.005X	128	NA	NA	1
1	1	2R	2	1	dgrp	0.005X	128	NA	NA	1
1	1	3L	3	0	dgrp	0.005X	128	NA	NA	1
1	1	3R	2	1	dgrp	0.005X	128	NA	NA	1
1	2	2L	4	1	dgrp	0.005X	128	NA	NA	1
1	2	2R	1	0	dgrp	0.005X	128	NA	NA	1
1	2	3L	3	2	dgrp	0.005X	128	NA	NA	1
1	2	3R	2	2	dgrp	0.005X	128	NA	NA	1
1	2	X	4	3	dgrp	0.005X	128	NA	NA	1
2	1	2L	1	1	dgrp	0.005X	128	NA	NA	1
2	1	2R	4	2	dgrp	0.005X	128	NA	NA	1
2	1	3L	0	2	dgrp	0.005X	128	NA	NA	1
2	1	3R	1	2	dgrp	0.005X	128	NA	NA	1
2	1	X	19	1	dgrp	0.005X	128	NA	NA	1
2	2	2L	0	0	dgrp	0.005X	128	NA	NA	1
2	2	2R	2	3	dgrp	0.005X	128	NA	NA	1
2	2	3L	2	0	dgrp	0.005X	128	NA	NA	1
2	2	3R	2	1	dgrp	0.005X	128	NA	NA	1
3	1	2L	3	1	dgrp	0.005X	128	NA	NA	1
3	1	2R	3	1	dgrp	0.005X	128	NA	NA	1
3	1	3L	2	0	dgrp	0.005X	128	NA	NA	1
3	1	3R	0	0	dgrp	0.005X	128	NA	NA	1
3	2	2L	2	0	dgrp	0.005X	128	NA	NA	1
3	2	2R	4	1	dgrp	0.005X	128	NA	NA	1
3	2	3L	1	1	dgrp	0.005X	128	NA	NA	1
3	2	3R	2	2	dgrp	0.005X	128	NA	NA	1
3	2	X	4	2	dgrp	0.005X	128	NA	NA	1
4	1	2L	2	2	dgrp	0.005X	128	NA	NA	1
4	1	2R	4	2	dgrp	0.005X	128	NA	NA	1
4	1	3L	4	1	dgrp	0.005X	128	NA	NA	1
4	1	3R	2	1	dgrp	0.005X	128	NA	NA	1
4	2	2L	3	2	dgrp	0.005X	128	NA	NA	1
