chromosome	nSites	nMatches	percentMatches	accByChance	individual_iteration	coverage	nFounders	Ne	mu	population_iteration	population
2L	861584	858062	0.995912180356181	0.825421741860119	1	0.005X	128	NA	NA	1	dgrp
2R	704486	703159	0.998116357173883	0.828081554814651	1	0.005X	128	NA	NA	1	dgrp
3L	827355	822320	0.993914341485819	0.833032311876026	1	0.005X	128	NA	NA	1	dgrp
3R	838233	836611	0.998064977160288	0.834901538792082	1	0.005X	128	NA	NA	1	dgrp
X	495801	0	0	0.828910639060442	1	0.005X	128	NA	NA	1	dgrp
2L	871916	871910	0.999993118603168	0.823733805914928	2	0.005X	128	NA	NA	1	dgrp
2R	703512	692898	0.984912837307679	0.828681634311971	2	0.005X	128	NA	NA	1	dgrp
3L	859059	858532	0.999386538060832	0.831722518890189	2	0.005X	128	NA	NA	1	dgrp
3R	859685	858461	0.998576222686216	0.832900365604301	2	0.005X	128	NA	NA	1	dgrp
X	493492	0	0	0.828302154732074	2	0.005X	128	NA	NA	1	dgrp
2L	855348	844918	0.987806132708558	0.826037612498109	3	0.005X	128	NA	NA	1	dgrp
2R	656433	646147	0.984330464799911	0.841364551561556	3	0.005X	128	NA	NA	1	dgrp
3L	848281	845913	0.997208472192587	0.833834947938537	3	0.005X	128	NA	NA	1	dgrp
3R	835114	834535	0.999306681483007	0.837565449278636	3	0.005X	128	NA	NA	1	dgrp
X	478110	0	0	0.830319505752103	3	0.005X	128	NA	NA	1	dgrp
2L	861913	849755	0.98589416797287	0.823874796284491	4	0.005X	128	NA	NA	1	dgrp
2R	710649	691835	0.973525608282007	0.827010686901328	4	0.005X	128	NA	NA	1	dgrp
3L	832132	828163	0.995230324035129	0.833634874016106	4	0.005X	128	NA	NA	1	dgrp
3R	832595	829745	0.996576967192933	0.83655248514169	4	0.005X	128	NA	NA	1	dgrp
X	480839	0	0	0.829973758014486	4	0.005X	128	NA	NA	1	dgrp
2L	843969	835682	0.990180918967403	0.82680019270804	5	0.005X	128	NA	NA	1	dgrp
2R	708401	704984	0.995176460789863	0.827309377025154	5	0.005X	128	NA	NA	1	dgrp
3L	843655	836174	0.99113263122959	0.834354985359003	5	0.005X	128	NA	NA	1	dgrp
3R	832643	830751	0.997727717641294	0.837067162266903	5	0.005X	128	NA	NA	1	dgrp
X	495307	493716	0.996787850767302	0.829153957175406	5	0.005X	128	NA	NA	1	dgrp
2L	853638	849110	0.994695643820917	0.826190031539458	6	0.005X	128	NA	NA	1	dgrp
2R	575809	571004	0.991655219004913	0.863362246535753	6	0.005X	128	NA	NA	1	dgrp
3L	829999	829199	0.99903614341704	0.837804921214304	6	0.005X	128	NA	NA	1	dgrp
3R	846436	828343	0.978624491396869	0.834867802471514	6	0.005X	128	NA	NA	1	dgrp
X	488662	0	0	0.828801290383296	6	0.005X	128	NA	NA	1	dgrp
2L	873007	861381	0.98668281010347	0.822537054266818	7	0.005X	128	NA	NA	1	dgrp
2R	710117	708140	0.997215951737531	0.827242972043614	7	0.005X	128	NA	NA	1	dgrp
3L	876052	874220	0.997908799934251	0.828525888665981	7	0.005X	128	NA	NA	1	dgrp
3R	868275	866447	0.99789467622585	0.831679073875775	7	0.005X	128	NA	NA	1	dgrp
X	492759	0	0	0.828731148964456	7	0.005X	128	NA	NA	1	dgrp
2L	859662	855065	0.994652549490381	0.82520043946158	8	0.005X	128	NA	NA	1	dgrp
2R	704982	692932	0.982907365010738	0.828180827886528	8	0.005X	128	NA	NA	1	dgrp
3L	846426	846426	1	0.834660403838035	8	0.005X	128	NA	NA	1	dgrp
3R	840388	836656	0.995559194086541	0.83622710978261	8	0.005X	128	NA	NA	1	dgrp
X	489906	485865	0.991751478855127	0.829500625897009	8	0.005X	128	NA	NA	1	dgrp
